model,component,contribution
base,L24H3,0.25904947916666665
base,L24H1,0.25904947916666665
base,L24H4,0.25904947916666665
base,L24H7,0.25904947916666665
PT3_COREUt,L24H4,0.25904947916666665
PT3_COREUt,L24H6,0.25904947916666665
PT3_COREUt,L24H3,0.25904947916666665
PT3_COREUt,L24H7,0.25904947916666665
PT3_COREUt,L24H5,0.25904947916666665
PT3_COREUt,L24H1,0.25904947916666665
PT3_COREUt,L24H0,0.25904947916666665
PT4_COREDe,L24H7,0.258984375
PT4_COREDe,L24H0,0.258984375
PT4_COREDe,L24H3,0.258984375
PT4_COREDe,L24H1,0.258984375
PT4_COREDe,L24H6,0.258984375
PT4_COREDe,L24H5,0.258984375
PT4_COREDe,L24H2,0.258984375
PT4_COREDe,L24H4,0.258984375
base,L25H1,0.24563802083333333
base,L25H2,0.24563802083333333
base,L25H3,0.24563802083333333
base,L25H4,0.24563802083333333
base,L25H5,0.24563802083333333
base,L25H6,0.24563802083333333
base,L25H7,0.24563802083333333
base,L25H0,0.24563802083333333
PT3_COREDe,L25H5,0.24361979166666667
PT3_COREDe,L25H6,0.24361979166666667
PT3_COREDe,L25H7,0.24361979166666667
PT3_COREDe,L25H3,0.24361979166666667
PT3_COREDe,L25H1,0.24361979166666667
PT3_COREDe,L25H0,0.24361979166666667
PT3_COREDe,L25H2,0.24361979166666667
PT3_COREDe,L25H4,0.24361979166666667
PT2_COREDe,L25H6,0.24059244791666667
PT2_COREDe,L25H0,0.24059244791666667
PT2_COREDe,L25H2,0.24059244791666667
PT2_COREDe,L25H1,0.24059244791666667
PT2_COREDe,L25H4,0.24059244791666667
PT2_COREDe,L25H5,0.24059244791666667
PT2_COREDe,L25H3,0.24059244791666667
PT2_COREDe,L25H7,0.24059244791666667
PT4_COREDe,L5H7,0.23743489583333333
PT4_COREDe,L5H0,0.23743489583333333
PT4_COREDe,L5H5,0.23743489583333333
PT4_COREDe,L5H6,0.23743489583333333
PT4_COREDe,L5H2,0.23743489583333333
PT4_COREDe,L5H3,0.23743489583333333
PT4_COREDe,L5H1,0.23743489583333333
PT4_COREDe,L5H4,0.23743489583333333
PT4_COREDe,L25H6,0.23522135416666667
PT4_COREDe,L25H0,0.23522135416666667
PT4_COREDe,L25H1,0.23522135416666667
PT4_COREDe,L25H2,0.23522135416666667
PT4_COREDe,L25H3,0.23522135416666667
PT4_COREDe,L25H4,0.23522135416666667
PT4_COREDe,L25H7,0.23522135416666667
PT4_COREDe,L25H5,0.23522135416666667
PT2_COREDe,L5H0,0.23509114583333332
PT2_COREDe,L5H2,0.23509114583333332
PT2_COREDe,L5H4,0.23509114583333332
PT2_COREDe,L5H3,0.23509114583333332
PT2_COREDe,L5H5,0.23509114583333332
PT2_COREDe,L5H6,0.23509114583333332
PT2_COREDe,L5H7,0.23509114583333332
PT2_COREDe,L5H1,0.23509114583333332
PT3_COREDe,L5H4,0.23424479166666667
PT3_COREDe,L5H7,0.23424479166666667
PT3_COREDe,L5H6,0.23424479166666667
PT3_COREDe,L5H5,0.23424479166666667
PT3_COREDe,L5H2,0.23424479166666667
PT3_COREDe,L5H3,0.23424479166666667
PT3_COREDe,L5H0,0.23424479166666667
PT3_COREDe,L5H1,0.23424479166666667
PT3_COREUt,L25H3,0.23323567708333334
PT3_COREUt,L25H2,0.23323567708333334
PT3_COREUt,L25H1,0.23323567708333334
PT3_COREUt,L25H0,0.23323567708333334
PT3_COREUt,L25H5,0.23323567708333334
PT3_COREUt,L25H4,0.23323567708333334
PT3_COREUt,L25H7,0.23323567708333334
PT3_COREUt,L25H6,0.23323567708333334
PT3_COREUt,L5H3,0.23287760416666667
PT3_COREUt,L5H2,0.23287760416666667
PT3_COREUt,L5H6,0.23287760416666667
PT3_COREUt,L5H7,0.23287760416666667
PT3_COREUt,L5H1,0.23287760416666667
PT3_COREUt,L5H0,0.23287760416666667
PT3_COREUt,L5H4,0.23287760416666667
PT3_COREUt,L5H5,0.23287760416666667
base,L5H5,0.23248697916666666
base,L5H6,0.23248697916666666
base,L5H3,0.23248697916666666
base,L5H4,0.23248697916666666
base,L5H7,0.23248697916666666
base,L5H0,0.23248697916666666
base,L5H1,0.23248697916666666
base,L5H2,0.23248697916666666
base,L16H4,0.22298177083333334
base,L16H7,0.22298177083333334
base,L16H6,0.22298177083333334
base,L16H5,0.22298177083333334
base,L16H2,0.22298177083333334
base,L16H3,0.22298177083333334
base,L16H0,0.22298177083333334
base,L16H1,0.22298177083333334
PT3_COREUt,L16H7,0.22161458333333334
PT3_COREUt,L16H6,0.22161458333333334
PT3_COREUt,L16H0,0.22161458333333334
PT3_COREUt,L16H1,0.22161458333333334
PT3_COREUt,L16H3,0.22161458333333334
PT3_COREUt,L16H2,0.22161458333333334
PT3_COREUt,L16H5,0.22161458333333334
PT3_COREUt,L16H4,0.22161458333333334
PT2_COREDe,L16H5,0.2189453125
PT2_COREDe,L16H0,0.2189453125
PT2_COREDe,L16H7,0.2189453125
PT2_COREDe,L16H6,0.2189453125
PT2_COREDe,L16H3,0.2189453125
PT2_COREDe,L16H4,0.2189453125
PT2_COREDe,L16H1,0.2189453125
PT2_COREDe,L16H2,0.2189453125
PT3_COREDe,L16H7,0.2185546875
PT3_COREDe,L16H0,0.2185546875
PT3_COREDe,L16H1,0.2185546875
PT3_COREDe,L16H2,0.2185546875
PT3_COREDe,L16H4,0.2185546875
