component_1,component_2,Deontological_corr,Utilitarian_corr,correlation_diff,abs_diff
L10_MLP,L8_MLP,0.6745355706346452,0.7313524655376403,-0.05681689490299513,0.05681689490299513
L24_MLP,L6_MLP,-0.17095078160252505,-0.12416249833487134,-0.04678828326765372,0.04678828326765372
L16_MLP,L6_MLP,-0.5068159381463722,-0.4624864904362671,-0.04432944771010505,0.04432944771010505
L6_ATTN,L8_MLP,0.8233872037463296,0.7807314446140929,0.042655759132236626,0.042655759132236626
L6_MLP,L8_ATTN,0.8212118391665137,0.7802514073672848,0.040960431799228925,0.040960431799228925
L23_MLP,L6_MLP,-0.14040231976280898,-0.17877365235818868,0.0383713325953797,0.0383713325953797
L7_ATTN,L9_MLP,-0.0778439973669891,-0.03993207220010792,-0.03791192516688118,0.03791192516688118
L5_MLP,L9_MLP,-0.2853580442944296,-0.3212233035326982,0.035865259238268554,0.035865259238268554
L0_ATTN,L8_MLP,-0.5007631382562602,-0.4762843602534513,-0.0244787780028089,0.0244787780028089
L4_ATTN,L9_MLP,0.5958436137353675,0.5757816212518415,0.020061992483526025,0.020061992483526025
L3_MLP,L8_MLP,0.49937509878485686,0.47964182716739234,0.01973327161746452,0.01973327161746452
L23_ATTN,L9_MLP,0.650384482025523,0.6350609410888352,0.015323540936687863,0.015323540936687863
L12_MLP,L9_MLP,0.12218333612198304,0.11070659027678548,0.011476745845197561,0.011476745845197561
L0_MLP,L6_MLP,-0.7983475164752173,-0.7898290416636539,-0.008518474811563426,0.008518474811563426
L25_MLP,L6_MLP,0.10961849724675968,0.10734395931720118,0.0022745379295584928,0.0022745379295584928
L22_ATTN,L9_MLP,0.6573247574571375,0.6594333679930359,-0.002108610535898392,0.002108610535898392
